Taxonomy	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12
M390	6120539.76	21679056.86	4859113.707	13821292.61	33667053.22	16162357.96	27852046.48	6201572.169	5086379.02	9140336.795	6933658.847	4911495.081
M391	107982.5965	25944.66027	110582.0775	6878598.136	5994677.025	4969275.964	1285156.887	34384.14813	163805.1484	263909.9393	147467.749	60220.62949
M392	402842614.6	166448551.7	421364624.3	748574953.5	593250768.9	762795233.3	433872697.5	373345571.1	301909682.2	513686369.5	290762593.2	516424378.1
M393	56858719.74	29172812.03	61012016.29	18777191.26	24544483.46	40707622.72	65444943.6	53567106.3	30684808.4	42412795.78	21157735.5	52695939.22
M394	311072.4958	31265.86671	5885337.772	65290923.32	89141244.98	60875389.04	46501349.37	555744.9887	3975995.707	34392291.76	3946051.181	424147.5022
M395	26999672.57	41533.25409	17479388.8	91648.43614	97913.47739	87733.01841	17522947.57	200847006.8	20130335.86	26423591.73	8509785.23	169691214.6
M396	1142136.106	141334.8031	989375.5864	12819029.7	19299690.48	16764475.17	2292935.314	1864392.825	806740.144	4431710.613	2960358.065	2671648.952
M397	836181976.3	430547618.7	355884673.1	122751555.3	34279329.96	66055604.13	2084248790	3331649243	195529251.6	441314523.9	109751613.7	149937942.7
D1	32739564.74	12762500.05	18192944.17	24883324.68	14871665.13	22245633.42	21893381.28	60224208.37	92073525.8	112418723.5	56869885.59	30136777.64
D2	5422636.66	597252.3388	2649770.821	715332.2969	688430.7624	1266918.448	9811608.399	5567529.592	4714209.31	4620092.845	7530191.609	2300006.658
D3	28576433.29	28343711.42	22043331.39	21614376.46	17747549.28	13002887.46	21864851.56	24933173.82	54196504.38	67268327.33	53930601.41	34983180.75
D4	4372113.932	770804.4159	1895082.806	2482419.279	291526.413	995170.5887	4708673.28	8760896.588	5668788.91	13358999.18	8951892.576	9787838.48
D5	2188902.214	1221959.166	2521259.768	2158202.549	1510994.009	2521607.432	110716.7839	42539.32896	132690.942	387012.2539	363392.1554	98181.2329
D6	15.51546826	6.357168311	8.337335025	16.08416736	14.99773675	6.424900686	24.90348849	34.23299119	24.74381071	57.43672795	29.44209242	17.53004801
D7	6.573085732	5.197339091	4.431633762	4.689490542	5.00034825	9.62559509	18.07038301	14.60252221	11.88318516	9.274107847	5.271570048	7.809514566
